language,repo_name,pr_number,story_points,pre_coding_title,pre_coding_description,pre_coding_desc_length,pre_coding_subtasks,pre_coding_author_tenure_days,pre_coding_discussion_participants,is_ai_assisted,post_coding_churn,post_coding_cyclomatic_proxy,post_coding_test_coverage_ratio,ai_mentions,ai_generation_ratio,ai_speed_proxy
typescript,dify,36213,1,fix: reduce db roundtrips of message update,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary reduce db roundtrips by changing query + modify to a single update ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1016,5,3982,1,0,28,0,9.5,0,2.62,1.03
typescript,dify,36187,1,fix(api): avoid dify-agent path lookup during Docker build,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary - Fixes #36186. - Moves `dify-agent` from API production dependencies to the dev dependency group because it is not currently used by the API runtime. - Uses `uv sync --frozen --no-dev` for the API Docker dependency layer so the image build trusts the checked-in lockfile while excluding dev-only path sources outside the `api/` build context. - Follow-up to the Docker build failure reported at https://github.com/langgenius/dify/pull/36087#issuecomment-4451591404. ## Screenshots N/A. This is a Docker build/dependency fix. ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [x] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods ## Verification - `uv lock --project api --check` - `docker build --target packages -t dify-api-packages:test ./api` **This PR is drafted by `gpt-5.5(high)` and I'm responsible for all the changes. I have reviewed the code and varified the behavior, while breaks may still exist. Reach me to fix in this case.** From gpt-5.5(high)",1719,5,3146,3,0,9,0,0.0,0,1.0,0
typescript,dify,36170,5,feat: initialize user timezone and language from browser,"## Summary - initialize new user timezone from browser timezone for email-code signup, email-password signup, OAuth signup, and invite activation defaults - initialize signup, OAuth, and invite settings language from the frontend-resolved locale instead of falling back to backend/default English when available - carry timezone and language through OAuth state while preserving invite-token compatibility - keep existing language-derived timezone and default-language fallbacks when frontend preferences are unavailable ## Tests - uv run --project api ruff check api/libs/oauth.py api/controllers/console/auth/oauth.py api/controllers/console/auth/login.py api/controllers/console/auth/email_register.py api/services/account_service.py api/tests/unit_tests/libs/test_oauth_base.py api/tests/unit_tests/libs/test_oauth_clients.py api/tests/unit_tests/controllers/console/auth/test_oauth_timezone.py api/tests/unit_tests/controllers/console/auth/test_email_register_language.py api/tests/unit_tests/controllers/console/auth/test_email_verification.py api/tests/unit_tests/services/test_account_service.py api/tests/test_containers_integration_tests/controllers/console/auth/test_oauth.py api/tests/test_containers_integration_tests/controllers/console/auth/test_email_register.py - uv run --project api pytest api/tests/unit_tests/libs/test_oauth_base.py api/tests/unit_tests/libs/test_oauth_clients.py api/tests/unit_tests/controllers/console/auth/test_oauth_timezone.py api/tests/unit_tests/controllers/console/auth/test_email_register_language.py - pnpm -C web test app/signin/components/__tests__/social-auth.spec.tsx app/signup/set-password/__tests__/page.spec.tsx app/signin/invite-settings/__tests__/page.spec.tsx - pnpm -C web type-check - git diff --check",1764,0,1679,2,1,1137,17,4.0603,0,11.93,1.05
typescript,dify,36185,2,fix: performance optimization on TTFE critical path,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary - Improved cache hit by sharing ProviderManager instance (see #33580 ) - change select-and-modify message to a direct update #36213 ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1007,5,3982,1,0,22,0,0.0,0,1.09,0.02
typescript,dify,36209,2,fix(web): web app description missing,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary Fix web app description missing ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",981,5,3323,1,0,22,0,0.0,0,1.88,0.87
typescript,dify,36206,1,fix(web): app icon in webapp,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary Fixes the web app icon emoji refresh behavior. `AppIcon` now derives a stable `emojiIcon` value and uses it as the React `key` for the `em-emoji` custom element, forcing the emoji element to remount when the icon changes. This ensures UI locations such as the chat header/sidebar update correctly when `appData.site.icon` changes. ## Screenshots | Before | After | |--------|-------| | ... | ... | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [x] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [x] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [] I've updated the documentation accordingly. - [x] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1279,4,3323,1,0,15,0,0.0,0,3.0,0
typescript,dify,36125,1,fix: replace deprecated testcontainers log waits,"## Summary Fixes #35893 This PR replaces deprecated `wait_for_logs` usage in Testcontainers-based integration test setup with structured `LogMessageWaitStrategy` readiness checks. The readiness checks are now configured on each container before startup for PostgreSQL, Redis, Dify Sandbox, and Dify Plugin Daemon. This removes the `DeprecationWarning` while preserving the same startup log checks and timeout behavior. From Codex ## Screenshots | Before | After | |--------|-------| | N/A | N/A | ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [x] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",1114,5,956,1,0,22,0,0.0,0,0.64,0
typescript,dify,36035,3,fix: regenerate document summary after update via API (#35950),"Fixes #35950 ## Summary `document_indexing_update_task` (the API update path) was missing the summary index generation step that `document_indexing_task` (the create path) performs after indexing completes. When a document was updated via the API, its summary was never regenerated even when the dataset had `summary_index_setting` enabled. ## Fix Added summary generation logic to `api/tasks/document_indexing_update_task.py` after successful `IndexingRunner.run()`, matching the pattern in `document_indexing_task.py`: - Checks for high_quality technique, enabled summary setting, COMPLETED status, non-QA doc_form, and need_summary=True before calling `generate_summary_index_task.delay()` - Added a `return` in the exception handler so summary generation is skipped on indexing failure ## Tests Added 11 unit tests in `test_document_indexing_update_task.py` covering: - Happy path: summary queued when all conditions met (with and without segments) - Skip paths: not high_quality, summary disabled, summary None, need_summary False, QA_INDEX form, indexing failure, dataset missing after indexing, document not completed - Error swallowing: queue call exception doesn't propagate",1190,0,859,1,1,567,10,12.186,0,567.0,0.1
typescript,dify,36210,5,refactor: enhance layout and scrolling behavior in various modals for improved user experience,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary refactor: enhance layout and scrolling behavior in various modals for improved user experience ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",971,5,3403,1,0,180,0,0.0,0,0.89,56.84
typescript,dify,36208,1,chore(layout): reintroduce AmplitudeProvider in common layouts for analytics tracking,"> [!IMPORTANT] > > 1. Make sure you have read our [contribution guidelines](https://github.com/langgenius/dify/blob/main/CONTRIBUTING.md) > 1. Ensure there is an associated issue and you have been assigned to it > 1. Use the correct syntax to link this PR: `Fixes #<issue number>`. ## Summary chore(layout): reintroduce AmplitudeProvider in common layouts for analytics tracking ## Checklist - [ ] This change requires a documentation update, included: [Dify Document](https://github.com/langgenius/dify-docs) - [ ] I understand that this PR may be closed in case there was no previous discussion or issues. (This doesn't apply to typos!) - [ ] I've added a test for each change that was introduced, and I tried as much as possible to make a single atomic change. - [ ] I've updated the documentation accordingly. - [ ] I ran `make lint && make type-check` (backend) and `cd web && pnpm exec vp staged` (frontend) to appease the lint gods",960,5,3403,1,0,6,0,0.0,0,1.33,0
